step,Energy,Magnet,acc,J
1,0.0014,0.0026,1e-05,1
100001,-0.477041,0.00388,0.5819,1
200001,-0.622569,-0.00842,0.40213,1.00001
300001,-0.695057,-0.011,0.31887,1.00002
400001,-0.737929,-0.00764,0.26936,1.00001
500001,-0.766372,-0.00902,0.24031,1.00002
600001,-0.788812,-0.00876,0.21401,1.00002
700001,-0.806209,-0.01736,0.197,1.00006
800001,-0.818789,-0.02048,0.1817,1.00008
900001,-0.830333,-0.0237,0.17347,1.00011
1000001,-0.838244,-0.02718,0.16476,1.00015
1100001,-0.847243,-0.03098,0.15198,1.00019
1200001,-0.853986,-0.03302,0.14686,1.00022
1300001,-0.858841,-0.03748,0.13895,1.00028
1400001,-0.863819,-0.04164,0.13378,1.00035
1500001,-0.867662,-0.04934,0.13169,1.00049
1600001,-0.870779,-0.05354,0.12716,1.00057
1700001,-0.875371,-0.05912,0.12505,1.0007
1800001,-0.878197,-0.0657,0.11747,1.00086
1900001,-0.881228,-0.07338,0.1174,1.00108
2000001,-0.883275,-0.08232,0.11377,1.00136
2100001,-0.886814,-0.09308,0.10826,1.00173
2200001,-0.889566,-0.10306,0.10655,1.00212
2300001,-0.891371,-0.11548,0.10521,1.00267
2400001,-0.894635,-0.12696,0.10402,1.00322
2500001,-0.896807,-0.1413,0.09985,1.00399
2600001,-0.89912,-0.15824,0.09799,1.00501
2700001,-0.902717,-0.17788,0.09282,1.00633
2800001,-0.906232,-0.19604,0.09092,1.00769
2900001,-0.909844,-0.21486,0.08833,1.00923
3000001,-0.913074,-0.2357,0.08716,1.01111
3100001,-0.917188,-0.25906,0.08302,1.01342
3200001,-0.92264,-0.28036,0.08063,1.01572
3300001,-0.926001,-0.30212,0.07814,1.01826
3400001,-0.930354,-0.32454,0.07705,1.02107
3500001,-0.934821,-0.34828,0.07177,1.02426
3600001,-0.940318,-0.37556,0.07072,1.02821
3700001,-0.947588,-0.40312,0.06708,1.0325
3800001,-0.954638,-0.43362,0.06541,1.03761
3900001,-0.962841,-0.46384,0.06193,1.04303
4000001,-0.970341,-0.49506,0.06035,1.04902
4100001,-0.980277,-0.52728,0.05639,1.0556
4200001,-0.990385,-0.55742,0.05263,1.06214
4300001,-0.999887,-0.58614,0.04808,1.06871
4400001,-1.01093,-0.61646,0.0449,1.076
4500001,-1.02198,-0.64838,0.04308,1.08408
4600001,-1.03167,-0.67478,0.03842,1.09107
4700001,-1.04282,-0.7016,0.03703,1.09845
4800001,-1.05449,-0.72906,0.03375,1.10631
4900001,-1.06583,-0.75436,0.03173,1.11381
5000001,-1.07659,-0.7785,0.02825,1.12121
5100001,-1.08675,-0.80026,0.02526,1.12808
5200001,-1.0968,-0.82068,0.02337,1.1347
5300001,-1.10655,-0.83912,0.02056,1.14082
5400001,-1.11564,-0.85588,0.01774,1.14651
5500001,-1.12345,-0.87198,0.01663,1.15207
