step,Energy,Magnet,acc,J
1,0.00800013,-0.009,1e-06,1.00002
1000001,-0.656543,-0.033,0.342088,1.00022
2000001,-0.677871,0.0704,0.336587,1.00099
3000001,-0.65687,0.0984,0.334582,1.00194
4000001,-0.65131,0.0626,0.333461,1.00078
5000001,-0.691016,0.2846,0.322608,1.0162
6000001,-0.747035,0.4266,0.288096,1.0364
7000001,-0.907087,0.725,0.22109,1.10512
8000001,-0.883452,0.7222,0.159128,1.10431
9000001,-0.934754,0.7772,0.154765,1.12081
10000001,-0.920092,0.7636,0.146502,1.11662
11000001,-0.981861,0.8354,0.133197,1.13958
12000001,-0.888707,0.7258,0.15319,1.10536
13000001,-0.93379,0.7804,0.150141,1.1218
14000001,-0.926734,0.7704,0.145384,1.1187
15000001,-0.9022,0.7342,0.151191,1.10781
16000001,-0.886666,0.717,0.142472,1.10282
17000001,-0.92149,0.7656,0.151705,1.11723
18000001,-0.903029,0.7228,0.149738,1.10449
19000001,-0.912599,0.7478,0.146747,1.11184
20000001,-0.852292,0.6704,0.159849,1.08989
21000001,-0.910652,0.738,0.154908,1.10893
22000001,-0.911224,0.744,0.161012,1.11071
23000001,-0.908983,0.7366,0.155045,1.10852
24000001,-0.880178,0.704,0.164775,1.09912
25000001,-0.926152,0.7646,0.153435,1.11692
26000001,-0.920918,0.758,0.144205,1.11491
27000001,-0.892613,0.7236,0.145222,1.10472
28000001,-0.906941,0.7318,0.156423,1.10711
29000001,-0.965646,0.8134,0.146666,1.13232
30000001,-0.932727,0.7606,0.14533,1.1157
31000001,-0.920583,0.762,0.153947,1.11613
32000001,-0.906659,0.7232,0.14495,1.1046
33000001,-0.954633,0.7946,0.149565,1.12628
34000001,-0.897441,0.7384,0.144263,1.10905
35000001,-0.911356,0.7536,0.150772,1.11358
36000001,-0.899218,0.7458,0.154059,1.11124
37000001,-0.917047,0.746,0.144965,1.1113
38000001,-0.919521,0.7524,0.148096,1.11322
39000001,-0.873848,0.713,0.160309,1.10167
40000001,-0.913682,0.7558,0.153444,1.11425
41000001,-0.927636,0.7528,0.150867,1.11334
42000001,-0.944742,0.7828,0.148952,1.12256
43000001,-0.933492,0.7636,0.14251,1.11662
44000001,-0.91032,0.7512,0.14437,1.11286
45000001,-0.906453,0.7554,0.152305,1.11413
46000001,-0.936527,0.7702,0.153388,1.11864
47000001,-0.924186,0.7762,0.160988,1.1205
48000001,-0.89096,0.7184,0.152333,1.10322
49000001,-0.88204,0.7064,0.16986,1.0998
50000001,-0.865079,0.6772,0.154416,1.09172
51000001,-0.923161,0.7616,0.15073,1.11601
52000001,-0.91794,0.755,0.153023,1.114
53000001,-0.946143,0.7864,0.150633,1.12368
54000001,-0.933441,0.7634,0.150317,1.11656
55000001,-0.959175,0.7964,0.147427,1.12685
56000001,-0.918485,0.7554,0.144365,1.11413
57000001,-0.937102,0.762,0.157679,1.11613
58000001,-0.910336,0.744,0.151344,1.11071
59000001,-0.880215,0.7158,0.163007,1.10247
60000001,-0.929917,0.7706,0.147232,1.11876
61000001,-0.916611,0.7604,0.144895,1.11564
62000001,-0.926363,0.7566,0.143371,1.11449
63000001,-0.912304,0.732,0.156481,1.10716
64000001,-0.912455,0.7454,0.148391,1.11112
65000001,-0.877325,0.705,0.147896,1.0994
66000001,-0.91255,0.7476,0.164805,1.11178
67000001,-0.89731,0.7304,0.1479,1.1067
68000001,-0.89528,0.718,0.159082,1.1031
69000001,-0.889925,0.7024,0.162898,1.09867
70000001,-0.966127,0.8086,0.150987,1.13077
71000001,-0.905948,0.7332,0.140645,1.10752
